,a1,a2,a3,nu1,nu2,nu3,theta1,gamma,a1_2010,a2_2010,a3_2010,g1_2010,g2_2010,adap1,adap2,adap3,SLRDAM1,SLRDAM2
JAPAN,0.00045,0.0007,3.6,800,0.29,1.06,0.06,1,-0.0019,0.0005,3.5354,0.0092,3.1683,800,0.285,1.06,0.00053,0.00053
USA,0,0.0015,2.7,44,0.42,0.53,0.054,1,-0.0012,0.0005,3.3431,0.0377,6.8446,44,0.418,0.533,0,0.000255
EUROPE,0,0.0014,2.5,255,0.35,0.93,0.055,1,0,0.0047,2.7694,0.0544,4.4843,255,0.35,0.932,0.004517,0
OHI,0.0001,0.0013,2.6,435,0.52,0.99,0.07,1,,,,,,435,0.515,0.988,0.006162,0
HIO,0.0021,0.024,2.9,997,0.6,1.1,0.076,1,0,0.0058,1.9512,0.0246,2.7271,,,,,
MI,0.0008,0.002,3,245,0.55,0.82,0.053,1,0,0.0064,1.6706,0.0477,3.9294,245,0.552,0.815,0,0.000071
RUSSIA,0,0.001,2.5,245,0.6,0.81,0.069,1,0,0,2,0,2,245,0.595,0.81,0,0.000042
LMI,0,0,1,0,0,0,0,1,0,0.0047,1.9026,0.0527,2.3524,,,,,
EE,0,0.0011,2.8,70,0.44,0.63,0.76,1,,0,2,0,2,70,0.44,0.63,0.000111,0
LI,0.0015,0.0016,2.6,452,0.49,1.1,0.086,1,0,0.0089,1.8704,0.0422,2.4951,451,0.49,1.1,0,0.001239
CHINA,0.0005,0.0013,2.6,264,0.47,0.87,0.094,1,-0.0029,0.0013,2.3708,0.5591,9.691,264,0.472,0.87,0.011718,0.000001
INDIA,0.004,0.0012,3,83,0.5,0.85,0.082,1,0,0.013,1.7239,0.223,3.1357,83,0.501,0.85,0,0.000255
AFRICA,0.0033,0.0016,2.9,31,0.34,0.71,0.073,1,0,0.0198,1.233,0.2897,3.7589,36,0.36,0.71,0.00351,0
