,omega1_neg,omega2_neg,omega3_neg,omega4_neg,omega1_pos,omega2_pos,omega3_pos,omega4_pos,rho_ada,rho_act,omega_eff_ada,omega_eff_act,omega_act,omega_rada,eps
USA,0.003,0.001,2,0.007,-0.001,0,2,0.001,-0.111,0.17,1.4,1,0.9,0.4,0.63
Western EU,0.003,0.001,2,0.007,-0.004,0.001,2,0.002,-0.111,0.17,2.5,1,0.9,0.4,0.63
Eastern EU,0.005,0.001,2,0,0,0,2,0,-0.111,0.17,0.8,1,0.99,0.001,0.7
KOSAU,0.007,0,2,0,-0.008,0.001,2,0.005,-0.111,0.17,2.5,1,0.99,0.55,0.9
CAJAZ,0.002,0.001,2,0.008,0,0,2,0,-0.111,0.17,0.5,1,0.9,0.1,0.7
TE,0.005,0.001,2,0,-0.004,0.001,2,0.003,-0.111,0.17,0.5,1,0.99,0.3,0.6
MENA,0.004,0.003,2,0,0,0,2,0,-0.111,0.17,1,1,0.75,0.5,0.75
SSA,0.01,0.003,2,0,0,0,2,0,-0.111,0.17,1.4,1,0.75,0.6,0.6
SASIA,0.004,0.01,2,0,-0.001,0,2,0,-0.111,0.17,3.9,1,0.47,0.55,0.7
CHINA,0.004,0.001,2,0,-0.007,0.001,2,0.004,-0.111,0.17,1.4,1,0.5,0.8,0.9
EASIA,0.003,0.008,2,0,0,0,2,0,-0.111,0.17,0.06,1,0.7,0.85,0.25
LACA,0.007,0.001,2,0,0,0,2,0,-0.111,0.17,0.7,1,0.6,0.55,0.55
INDIA,0.005,0.01,2,0,-0.001,0,2,0,-0.111,0.17,0.38,1,0.8,0.7,0.3
