region,kappa_carbonprice_1000_2030,kappa_carbonprice_1000_2050,kappa_carbonprice_1000_2070,kappa_carbonprice_1000_2100,kappa_carbonprice_2000_2030,kappa_carbonprice_2000_2050,kappa_carbonprice_2000_2070,kappa_carbonprice_2000_2100,kappa_carbonprice_200_2030,kappa_carbonprice_200_2050,kappa_carbonprice_200_2070,kappa_carbonprice_200_2100,kappa_carbonprice_300_2030,kappa_carbonprice_300_2050,kappa_carbonprice_300_2070,kappa_carbonprice_300_2100,kappa_carbonprice_4000_2030,kappa_carbonprice_4000_2050,kappa_carbonprice_4000_2070,kappa_carbonprice_4000_2100,kappa_carbonprice_500_2030,kappa_carbonprice_500_2050,kappa_carbonprice_500_2070,kappa_carbonprice_500_2100,kappa_rel_abatement_0.25_2030,kappa_rel_abatement_0.25_2050,kappa_rel_abatement_0.25_2070,kappa_rel_abatement_0.25_2100,kappa_rel_abatement_0.4_2030,kappa_rel_abatement_0.4_2050,kappa_rel_abatement_0.4_2070,kappa_rel_abatement_0.4_2100,kappa_rel_abatement_0.5_2050,kappa_rel_abatement_0.5_2070,kappa_rel_abatement_0.5_2100,kappa_rel_abatement_0.75_2050,kappa_rel_abatement_0.75_2070,kappa_rel_abatement_0.75_2100
BRA,0.326,0.352,0.4,0.179,0.315,0.364,0.359,0.161,0.196,0.177,0.202,0.14,0.196,0.234,0.244,0.16,0.366,0.378,0.382,0.171,0.287,0.348,0.348,0.219,0.331,0.733,1.225,0.565,0.195,0.331,0.468,0.167,0.333,0.361,0.156,0.312,0.355,0.252
CAN,0.914,0.956,0.821,1.563,0.813,0.862,0.813,0.863,0.691,1.611,1.368,1.232,0.919,1.696,1.501,1.512,0.81,0.913,0.824,0.884,1.054,1.428,1.455,1.895,0.914,1.196,0.804,0.713,0.979,1.63,1.435,1.278,1.37,1.261,1.417,1.297,1.328,1.815
CEU,1.531,1.349,1.526,1.825,1.519,1.361,1.266,1.486,2.22,1.735,1.346,1.119,1.95,1.476,1.373,1.348,1.574,1.341,1.289,0.986,1.736,1.276,1.434,1.584,1.572,2.142,1.266,0.728,3.214,1.585,1.424,1.167,1.243,1.18,1.235,1.268,1.494,1.943
CHN,1.299,1.068,1.115,0.87,1.346,1.153,1.219,0.979,1.053,0.845,1.244,0.972,1.192,0.848,1.057,0.846,1.343,1.149,1.235,1.029,1.187,0.866,0.971,0.856,1.141,0.736,0.792,0.712,2.097,0.717,1.263,0.989,0.908,1.047,0.94,0.858,1.013,0.898
EAF,0.305,0.65,0.492,0.638,0.372,0.642,0.514,0.652,0.84,2.143,0.846,0.785,0.243,1.32,0.747,0.825,0.392,0.633,0.506,0.749,0.215,0.739,0.485,0.596,0.686,1.209,0.741,0.682,0.331,1.615,0.711,0.737,1.176,0.894,0.907,0.921,0.782,0.815
INDIA,0.815,1.101,1.374,1.256,0.868,1.168,1.424,1.507,0.736,0.971,0.947,0.883,0.767,0.994,1.012,0.9,0.891,1.197,1.458,1.586,0.748,1.014,1.157,0.938,0.848,0.784,0.757,0.719,0.648,0.936,0.884,0.87,0.996,0.988,0.944,1.0,1.099,0.94
INDO,1.193,1.082,1.04,1.382,1.217,1.108,1.016,1.018,1.315,1.123,1.706,2.085,1.158,1.033,1.481,2.17,1.183,1.176,1.095,0.976,1.023,1.045,1.223,2.047,1.089,1.698,2.813,3.271,1.492,1.171,1.5,1.619,1.024,1.22,1.576,1.016,1.172,1.577
JAP,1.551,0.868,0.829,1.078,1.668,0.797,0.927,1.08,2.034,1.045,0.879,1.016,2.043,1.092,0.911,1.063,1.679,0.715,0.796,1.198,1.77,0.965,0.747,1.155,1.607,0.738,0.73,0.728,4.634,1.012,0.763,1.007,1.046,0.963,1.037,1.014,0.897,1.164
KOR,1.501,1.089,1.386,2.247,1.657,1.049,1.189,2.095,1.328,1.075,0.941,1.559,1.384,1.141,1.118,1.883,1.697,0.985,1.155,1.752,1.392,1.201,1.408,2.517,1.272,0.792,0.709,1.861,4.769,1.054,0.777,1.547,1.074,1.031,1.884,1.253,1.365,2.786
ME,1.315,1.38,1.316,0.862,1.219,1.288,1.401,1.063,0.944,2.01,2.504,2.065,1.135,1.985,2.09,1.773,1.114,1.221,1.496,1.145,1.298,1.724,1.577,1.385,1.132,2.56,3.566,3.348,1.715,1.803,1.762,1.403,1.502,1.43,1.29,1.758,1.371,1.227
MEX,0.862,0.642,0.497,0.621,0.804,0.596,0.514,0.462,1.035,0.973,0.735,0.686,1.189,0.916,0.678,0.635,0.804,0.621,0.473,0.468,1.028,0.836,0.587,0.616,1.059,0.778,0.744,0.706,0.793,0.885,0.668,0.705,0.982,0.776,0.772,0.884,0.78,0.742
NAF,1.225,1.821,1.661,1.415,1.216,1.582,1.667,1.71,1.555,3.456,2.352,1.46,1.692,3.354,2.245,1.443,1.131,1.447,1.669,1.548,1.53,2.718,2.0,1.531,1.535,4.77,3.251,2.254,1.521,2.464,1.833,1.267,2.057,1.545,1.242,2.797,1.679,1.506
OCE,0.295,0.32,0.151,0.199,0.325,0.269,0.118,0.139,1.127,0.758,0.354,0.336,0.383,0.501,0.405,0.414,0.276,0.264,0.102,0.131,0.312,0.354,0.255,0.385,0.735,0.719,0.587,0.546,0.362,0.62,0.198,0.16,0.778,0.144,0.134,0.609,0.55,0.563
RCAM,0.924,1.085,1.583,1.796,0.902,1.052,1.359,1.663,1.406,1.29,0.958,0.81,0.91,1.316,1.11,0.897,0.897,1.092,1.346,1.291,0.954,1.082,1.498,1.108,0.963,1.676,0.771,0.884,0.784,1.325,0.887,0.8,1.174,1.027,0.93,1.103,1.684,1.559
RSAF,0.21,1.181,0.542,0.574,0.255,1.061,0.543,0.439,0.335,0.975,0.369,0.621,0.235,1.344,0.502,0.692,0.297,1.051,0.509,0.442,0.311,1.655,0.716,0.797,0.482,0.907,0.619,0.659,0.335,0.587,0.212,0.486,1.21,0.166,0.75,1.507,0.61,0.847
RSAM,0.468,0.512,0.506,0.476,0.46,0.52,0.505,0.436,0.28,0.275,0.312,0.666,0.256,0.296,0.326,0.605,0.483,0.528,0.495,0.473,0.374,0.435,0.402,0.565,0.418,1.33,1.195,1.203,0.303,0.531,0.455,0.76,0.397,0.35,0.732,0.367,0.452,0.743
RSAS,0.924,1.063,1.432,1.183,0.828,0.955,1.377,1.436,1.163,1.349,1.167,0.849,1.2,1.322,1.141,0.882,0.695,0.934,1.356,1.516,0.984,1.185,1.134,0.934,1.12,1.363,0.83,0.688,0.929,1.412,1.2,0.814,1.177,1.069,0.931,1.204,1.099,0.951
RUS,1.103,1.615,1.633,1.705,1.096,1.674,1.555,1.55,1.207,2.722,3.434,1.675,1.255,2.219,2.601,1.663,1.141,1.579,1.515,1.594,1.201,1.672,1.912,1.667,1.163,3.802,4.536,2.629,1.213,1.907,1.917,1.373,1.519,1.54,1.377,2.184,1.846,1.826
SAF,0.769,0.842,0.731,0.527,0.814,0.896,0.727,0.567,0.634,0.591,0.544,0.581,0.598,0.669,0.625,0.607,0.796,0.914,0.773,0.632,0.65,0.813,0.733,0.704,0.754,0.681,0.666,0.637,0.536,0.318,0.285,0.427,0.477,0.48,0.683,0.755,0.766,0.746
SEAS,0.888,1.008,1.065,1.764,0.801,0.97,1.078,1.838,1.503,1.262,0.995,1.071,1.415,1.249,0.997,1.065,0.825,0.954,1.113,1.511,1.063,1.146,1.029,1.346,1.205,1.272,0.931,1.13,0.866,1.319,1.009,1.071,1.14,0.992,1.04,1.15,1.015,1.804
STAN,1.569,1.827,1.534,0.731,1.41,1.611,1.426,0.749,1.376,3.85,2.13,0.996,1.528,3.685,2.006,1.011,1.297,1.535,1.475,0.864,1.606,2.78,1.644,0.879,1.424,5.109,2.844,0.779,2.433,2.518,1.73,1.034,2.068,1.419,1.008,2.814,1.438,0.91
TUR,1.275,1.48,1.782,2.395,1.215,1.364,1.985,2.507,1.181,1.848,1.871,1.092,1.289,1.805,1.922,1.207,1.161,1.205,1.974,2.299,1.297,1.631,1.855,1.617,1.191,2.08,2.185,0.728,1.622,1.71,1.688,1.115,1.425,1.452,1.156,1.855,1.739,4.583
UKR,1.046,1.17,0.971,1.035,1.054,1.154,1.005,0.794,1.193,1.059,0.678,0.529,1.27,1.141,0.771,0.597,1.141,1.119,1.016,0.78,1.171,1.275,1.01,0.923,1.171,0.774,0.7,0.64,1.093,1.016,0.477,0.395,1.07,0.678,0.595,1.286,0.896,0.799
USA,1.138,0.945,0.817,1.134,1.014,0.889,0.731,0.896,3.339,1.591,1.442,1.834,2.904,1.417,1.454,1.895,0.959,0.933,0.722,0.823,1.752,1.13,1.306,1.961,1.609,2.362,1.616,2.764,1.28,1.531,1.455,1.488,1.218,1.22,1.509,1.135,1.231,1.591
WAF,0.685,0.675,0.716,0.981,0.813,0.726,0.755,1.044,0.361,0.563,0.58,0.864,0.353,0.525,0.623,0.843,0.932,0.714,0.715,0.935,0.516,0.625,0.626,0.722,0.31,1.548,1.032,0.896,0.343,0.743,0.662,0.853,0.594,0.608,0.914,0.623,0.742,0.828
WEU,1.474,1.447,1.541,1.951,1.299,1.303,1.462,1.65,2.023,1.501,1.59,3.336,2.123,1.615,1.485,2.977,1.189,1.282,1.402,1.572,1.874,1.654,1.494,2.639,1.686,1.496,2.25,4.711,2.044,1.575,1.491,1.885,1.342,1.233,1.848,1.838,1.628,2.112
